business_id,name,address,telephone,city,avg_rating,product_grade,decoration_grade,service_grade,product_score,decoration_score,service_score,review_count,avg_price,photo_count,category,latitude,longitude,geometry
500018,华万意意大利餐厅,卢湾区太仓路181弄新天地北里7号楼,021-63112211,上海,4.0,1.0,1.0,1.0,7.7,8.4,8.0,470,323.0,450.0,意大利菜,31.220969820418336,121.47036579407515,POINT (121.4703657940751 31.22096982041834)
500030,艾迪多慕思,静安区延安西路200号文艺宾馆新楼1楼,021-62488499,上海,4.0,1.0,1.0,1.0,7.7,8.3,7.9,96,354.0,48.0,意大利菜,31.221540600945403,121.43712099045702,POINT (121.437120990457 31.2215406009454)
500123,李奥纳多达芬奇餐厅,静安区华山路250号希尔顿酒店1楼,021-62480000-1850,上海,4.0,1.0,1.0,1.0,7.7,8.5,8.2,458,296.0,654.0,意大利菜,31.221157462921592,121.44084901009623,POINT (121.4408490100962 31.22115746292159)
500137,大马可意大利餐厅,长宁区东诸安浜路103号维景酒店公寓1楼,021-62104495,上海,4.0,1.0,1.0,1.0,8.3,8.2,7.9,2052,146.0,1996.0,意大利菜,31.219968622555992,121.42964710362615,POINT (121.4296471036262 31.21996862255599)
500281,吉范尼斯,长宁区遵义南路5号虹桥喜来登上海太平洋大饭店27楼,021-62758888,上海,4.0,1.0,1.0,1.0,7.9,8.6,8.8,210,244.0,559.0,意大利菜,31.20544208780257,121.40088121335954,POINT (121.4008812133595 31.20544208780257)
500476,帕戈意大利餐厅,黄浦区河南中路88号威斯汀大饭店2楼,021-63351888-7368,上海,3.5,1.0,1.0,1.0,7.0,8.0,7.8,321,169.0,419.0,意大利菜,31.234362738276495,121.48238153806311,POINT (121.4823815380631 31.2343627382765)
500477,帕兰朵,静安区南京西路1376号波特曼大酒店1楼,021-62798888,上海,4.0,1.0,1.0,1.0,8.0,8.8,8.6,678,696.0,1332.0,意大利菜,31.228970286629043,121.44715325312585,POINT (121.4471532531258 31.22897028662904)
500765,意庐,浦东新区世纪大道88号金茂君悦大酒店56楼,021-50491234,上海,4.0,1.0,1.0,1.0,7.4,9.0,8.2,623,433.0,491.0,意大利菜,31.23732115701137,121.50143345893429,POINT (121.5014334589343 31.23732115701137)
501128,红塔豪华精选酒店Danieli's意大利餐厅,浦东新区东方路889号红塔豪华精选酒店39楼,021-50504567-6370,上海,4.5,1.0,1.0,1.0,8.3,9.0,9.0,370,211.0,680.0,意大利菜,31.225863784723014,121.5239082278639,POINT (121.5239082278639 31.22586378472301)
502504,Tima Harbour,长宁区镇宁路11号,021-62258684,上海,4.0,1.0,1.0,1.0,7.9,7.8,7.8,1486,83.0,1025.0,意大利菜,31.2171840299844,121.43370862931775,POINT (121.4337086293177 31.2171840299844)
